,title,description,release_year,age_certification,runtime,genres,seasons,imdb_score,imdb_votes,name,character,role
41740,Best.Worst.Weekend.Ever.,"Teenage friends plan an epic trip to Comic-Con to meet their idol, only to get caught in one hilariously awkward predicament after another.",2018,TV-PG,25,"['comedy', 'family']",1.0,6.4,297.0,Sam Ashe Arnold,Zed,ACTOR
41745,Treehouse Detectives,"When their animal friends need help, brother-and-sister team Toby and Teri use the clues and follow the facts to solve mysteries in their own backyard.",2018,TV-Y7,24,['animation'],3.0,7.6,93.0,Philece Sampler,Rumy (voice),ACTOR
41782,Samantha!,"A child star in the '80s, Samantha clings to the fringes of celebrity with hilarious harebrained schemes to launch herself back into the spotlight.",2018,TV-MA,28,['comedy'],2.0,6.6,513.0,Luis Pinheiro,,DIRECTOR
41861,Legend Quest,"When an evil force threatens his village, a gifted teen who can talk to ghosts puts his skills to good use, one legend at a time.",2017,TV-Y7,26,"['animation', 'comedy', 'fantasy']",1.0,7.3,446.0,Roly Gutiérrez,Townspeople / Mart / Brothers Grimm / Roman Soldier / Ghost / Horrorosos,ACTOR
41867,Trailer Park Boys: Out of the Park: USA,"The boys are back on the loose as Bubbles, Julian and Ricky head south of the Canadian border for some outrageous American adventures.",2017,TV-MA,29,['comedy'],1.0,,,John Paul Tremblay,Julian,ACTOR
41893,The Curious Creations of Christine McConnell,"Wickedly talented baker and artist Christine McConnell fills her home with haunting confections, creepy crafts -- and wildly inappropriate creatures.",2018,TV-PG,27,"['reality', 'comedy', 'horror']",1.0,7.7,2391.0,Christine McConnell,Christine McConnell,ACTOR
41924,Paul Hollywood's Big Continental Road Trip,Paul Hollywood who is an actor and a baker from Liverpool tries to find out how the most popular cars of the three big European countries express their nation's identities and the connections with their cultures.,2017,TV-14,58,"['documentation', 'european']",1.0,7.4,206.0,Paul Hollywood,Self,ACTOR
42099,"Heidi, bienvenida a casa",,2017,TV-Y,46,"['comedy', 'family']",1.0,6.2,20.0,Melisa Garat,Maxine García Le Blanc,ACTOR
42521,Westside,Nine struggling musicians share the spotlight in this deeply personal reality series about the challenges and thrills of staging a Hollywood showcase.,2018,TV-MA,47,['reality'],1.0,6.0,168.0,Alexandra Kay,,ACTOR
42540,The Judgement,"After a traumatic incident at a party makes her a target of gossip and derision, a young college student tries to change her school's toxic culture.",2018,,48,"['drama', 'crime']",1.0,7.1,95.0,Thanabordee Jaiyen,,ACTOR
42554,My Only Love Song,"Song Soo-Jung is an arrogant pop star who believes not only that status and money can get you anywhere, but that it defines your worth. She accidentally falls into a time-slip portal and travels back in time to the Joseon era where she meets On-Dal, a man who loves money yet is generous to those without.",2017,TV-MA,36,"['drama', 'comedy', 'fantasy', 'romance']",1.0,7.0,647.0,Gong Seung-yeon,Song Soo-Jung,ACTOR
42566,Borges,"Four employees of an import company discover that they were cheated by their former boss with a proposed society. Now with the bankrupt company, it is up to this quartet to solve all the processes and debts of the company. With no money to clear all accounts, they decide to create a video channel for the internet.",2018,TV-MA,24,['comedy'],2.0,6.2,168.0,Thati Lopes,Rosana,ACTOR
42570,Stretch Armstrong & the Flex Fighters,"When overscheduled teenager Jake Armstrong and his two best friends are accidentally exposed to an experimental chemical, they become Stretch Armstrong and the Flex Fighters, a team of unlikely superheroes who expand beyond the confines of their lives and embark on a series of adventures.",2017,TV-G,23,"['action', 'comedy', 'scifi', 'animation']",2.0,6.2,307.0,Ogie Banks,Ricardo Perez,ACTOR
42587,Made in Mexico,"These Mexico City socialites may lead opulent lives, but a peek behind the curtain reveals a tangled web of intrigue, envy and personal struggles.",2018,,50,['reality'],1.0,3.9,760.0,Shanik Aspe,Herself,ACTOR
42596,Dinotrux: Supercharged,"Amped up with powers that make them faster, stronger and more agile than ever, the Dinotrux are back to face new challenges and meet new friends.",2017,TV-Y7,23,"['family', 'animation', 'action', 'comedy']",3.0,7.5,94.0,Matt Hill,Ton-Ton,ACTOR
42630,Monkart,Jin and his dragon monster Draka set out on a racing adventure and try to save the kingdom from evil forces.,2017,TV-Y7,12,[],1.0,,,장성,,DIRECTOR
42631,Revolutionary Love,"Byun Hyuk is the younger son of a rich conglomerate family who was born with a silver spoon in his mouth. The lack of difficulties in life contributed to the carefree and hopelessly positive mindset of his. One day, he meets a girl who is everything that he is not. This drama is a depiction of youth where they learn about love and friendship.",2017,TV-MA,68,"['comedy', 'romance']",1.0,6.9,666.0,Siwon,Byun Hyuk,ACTOR
42786,Death by Magic,"Magician Drummond Money-Coutts travels the globe, sharing his infectious love of his craft and attempting feats that proved fatal to other magicians.",2018,TV-14,33,['reality'],1.0,6.1,629.0,Drummond Money-Coutts,,ACTOR
42901,Take My Brother Away,"Bickering siblings Shi Miao and Shi Fen tackle friendship matters, school drama and the pitfalls of growing up with little parental supervision.",2018,,46,"['comedy', 'drama', 'family']",1.0,6.7,161.0,Lu Xiaoyu,Miao Miaomiao,ACTOR
42907,A Taiwanese Tale of Two Cities,"A Taipei doctor and a San Francisco engineer swap homes in a daring pact, embarking on journeys filled with trials, secrets and unexpected encounters.",2018,,68,['drama'],2.0,6.1,159.0,James Wen,,ACTOR
42936,Smoking,"Seeking a greater justice, a band of homeless assassins flays their human targets and delivers the tattooed skins as proof of a contract fulfilled.",2018,TV-MA,24,"['drama', 'crime', 'comedy']",2.0,7.4,456.0,Ryuhei Matsuda,Sakakibara Masayuki,ACTOR
42999,Here to Heart,She has more than work on her mind. Wen Nuan decides to quit her high-paying job in England to work as an executive assistant to the founder of a high-tech company in China. Zhan Nan Xian started the company with his classmates and used his financial savvy to weather the economic downturn and keep the company successful. It turns out that Wen Nuan and Nan Xian were in a relationship in the past. Can Wen Nuan make herself indispensable to Nan Xian in both his work and his life?,2018,TV-14,45,"['drama', 'romance']",1.0,7.5,219.0,Zhang Han,Zhan Nan Xian,ACTOR
43045,LEGO Elves: Secrets of Elvendale,"Armed with a powerful amulet, a teenage guardian is tasked with protecting her little sister -- and all of Elvendale. Based on the popular web series.",2017,TV-Y7,24,"['scifi', 'animation', 'fantasy']",1.0,6.9,163.0,Riley Murdock,,ACTOR
43104,Oh My Ghost,"Jiew is a modest girl who works at a restaurant washing dishes and is in love with Artit, the chef. She huddles in a cramped little room, doesn't sleep at night, and is always late for work. But she has a big secret: she sees ghosts. And Khaopun, a virgin ghost who doesn't understand why her soul can't go to heaven, doesn't leave Jiew alone. Khaopun is sure that only losing her virginity will help her to ascend to heaven, and therefore she uses Jiew's body to seduce Artit and achieve what she wants.",2018,,51,"['drama', 'comedy']",1.0,,,Arak Amornsupasiri,Artit,ACTOR
43111,Edha,"Revenge, passion and dark secrets push a successful fashion designer and single mother to her limits when she meets a handsome and mysterious man.",2018,TV-MA,40,['drama'],1.0,4.9,632.0,Juana Viale,,ACTOR
43145,Wrong Kind of Black,"From the crocs and cops of 1960s Queensland to the blood-splattered disco floors of 1970s Melbourne, comes the hilarious and heartbreaking story of afro bearing, flare wearing DJ Monty Pryor and his brother Paul.",2018,TV-MA,16,"['comedy', 'drama']",1.0,7.7,148.0,Clarence John Ryan,Monty Pryor,ACTOR
43161,Monkey Twins,"Inspired by Khon dance drama and Thai martial arts, a fighter scarred by the past joins forces with a determined cop to battle an organized crime ring.",2018,,53,"['crime', 'action']",1.0,7.9,92.0,Phakin Khamwilaisak,ร.ต.อ.มาวิน,ACTOR
43251,Baby Ballroom,"Documentary series going behind the scenes at the Zig Zag Dance Factory in Wolverhampton, England run by coaches Warren Bullock and Jane Bullock.",2017,,45,['documentation'],2.0,7.8,198.0,Warren Bullock,Warren Bullock,ACTOR
43277,Age of Rebellion,"Campus bullying is a serious issue that every school try to root out. When the bullying manifests to outside of the school, who is responsible to stop it?",2018,TV-MA,83,"['drama', 'romance', 'crime']",1.0,8.6,49.0,Peter Ho,Gao Yi,ACTOR
43397,All About the Washingtons,"The wife of a legendary rapper launches her own career, which puts his life into a tailspin.",2018,TV-G,23,"['comedy', 'music']",1.0,4.8,708.0,Joseph Simmons,Joey Washington,ACTOR
43435,Part-Time Idol,"This drama takes place in fictional entertainment company where a producer who has produced many famous idols suddenly has an existential crisis and disappears. Years later he appears and starts to put together a co-ed idol group, which is when the story begins.",2017,TV-14,40,"['drama', 'family', 'music', 'comedy']",1.0,6.7,108.0,Kim Min-kyo,Jeong Tae Kyung,ACTOR
43482,The Honeymoon Stand Up Special,"Impending parenthood does funny things to Natasha Leggero and Moshe Kasher, who dissect family, relationships and more in a trio of stand-up specials.",2018,,31,['comedy'],1.0,6.8,515.0,Natasha Leggero,,ACTOR
43515,A Boy Named Flora A,A 28-year-old layabout begins to re-examine his life when his dysfunctional family assembles to pay respects to a dying grandmother who won’t pass on.,2017,TV-MA,89,"['drama', 'comedy']",2.0,7.9,314.0,Crowd Lu,,ACTOR
43602,Strongest Deliveryman,Two gutsy food delivery workers strive to overcome their socioeconomic disadvantages to achieve big goals -- and bump into love along the way.,2017,TV-MA,55,"['drama', 'romance']",1.0,7.4,626.0,Go Kyung-pyo,Choi Gang-Soo,ACTOR
43709,The Could've-Gone-All-the-Way Committee,People bring their stories of missed lust connections to an objective panel of experts who then judge whether they could have gone all the way or not.,2018,TV-14,24,"['comedy', 'drama']",1.0,6.8,102.0,Jiro Sato,Nojima Yuzuru,ACTOR
43825,The Many Faces of Ito,A jaded rom-com screenwriter in her 30s mines four love-sick women for their stories under the guise of providing them with romantic advice.,2017,,30,"['drama', 'comedy', 'romance']",1.0,6.7,244.0,Fumino Kimura,Rio Yazaki,ACTOR
44043,A House of Blocks,"Yijuan and her mentally ill sister Kaiqi struggle to be happy in the face of misfortune, criminal intrigue, marital strife, an exorcism and a ghost.",2017,TV-MA,84,"['horror', 'drama']",1.0,2.3,137.0,Phoebe Lin,Wu Yi-Chuan,ACTOR
44140,Julie's Greenroom,Ms. Julie teaches performing arts workshops with the help of her assistant Gus at their Wellspring Center for the Performing Arts.,2017,,26,"['comedy', 'family']",1.0,8.2,328.0,Julie Andrews,Ms. Julie,ACTOR
44182,All Hail King Julien: Exiled,"Julien's been dethroned, but loyal friends and some very unlikely allies will propel the lovable lemur on a colorful journey to take back his kingdom.",2017,TV-Y7,23,"['animation', 'comedy', 'family', 'fantasy']",1.0,7.5,559.0,Danny Jacobs,King Julien (voice),ACTOR
44234,Falling in Love Like a Romantic Drama,Naomi Watanabe hosts a reality show in which eight young actors perform kissing scenes in a drama. Then the camera follows them to see if sparks fly!,2018,TV-14,39,['reality'],1.0,,,Naomi Watanabe,,ACTOR
44239,Justice: Qalb Al Adala,"The show follows an ambitious young Arab female lawyer who got her law degree in the US and instead of joining her father's law firm back at home (UAE) she decides to go out on her own as a defense attorney, pushing the legal and cultural envelope in the process.",2017,TV-14,37,"['drama', 'crime']",1.0,5.6,155.0,Mansoor Alfeeli,Hasan,ACTOR
44306,REA(L)OVE,"A group of men and women, each burdened with a dark secret, look for love in this dating show with a twist. Hosted by reformed playboy Atsushi Tamura.",2018,TV-MA,45,['reality'],1.0,6.6,210.0,Mari Yaguchi,himself,ACTOR
44308,Argon,"In a world filled with provocative (and often misleading) news, a passionate team of investigative TV reporters strives to bring truths to light.",2017,,63,['drama'],1.0,7.3,261.0,Kim Joo-hyuk,Kim Baek-Jin,ACTOR
44354,Buddy Thunderstruck,"Follow the outrageous, high-octane adventures of Buddy Thunderstruck, a truck-racing dog who brings guts and good times to the town of Greasepit.",2017,TV-Y7,22,"['comedy', 'sport', 'animation', 'action', 'family']",2.0,7.8,489.0,Brian Atkinson,Buddy Thunderstruck (voice),ACTOR
44380,Blazing Transfer Students,"Featuring the boys of Johnny's West, a gang of zany transfer students are recruited for a mysterious mission ordained by their shadowy principal.",2017,TV-MA,26,"['action', 'comedy']",1.0,7.0,116.0,Akito Kiriyama,Kakeru Shigeoka,ACTOR
44390,Club de Cuervos Presents: The Ballad of Hugo Sánchez,Chava Iglesias's doting personal assistant Hugo Sánchez is tasked with leading Club de Cuervos to victory in Nicaragua -- if only his mom will let him.,2018,TV-MA,32,"['comedy', 'drama']",1.0,6.4,816.0,Jesús Zavala,Hugo Sánchez,ACTOR
44449,Robozuna,A boy and his homemade robot enter the toughest competition in the universe while attempting to free their oppressed home from an evil empire.,2018,,22,['animation'],3.0,6.6,92.0,Taylor Clarke-Hill,Ariston / Slick,ACTOR
44577,Check The Store Next Door,"When a former shop owner grows bored of retirement, he buys a fish pond and manages the new hijinks in his life with a staff of quirky employees.",2018,TV-14,30,"['comedy', 'drama']",2.0,7.8,129.0,Liant,Amiauw,ACTOR
44623,A Little Help with Carol Burnett,"In this unscripted series starring comedy legend Carol Burnett, kids dish out advice to celebrities and everyday people in front of a live audience.",2018,TV-G,34,[],1.0,6.3,233.0,Carol Burnett,Herself - Host,ACTOR
44626,Pucca: Love Recipe,"There is an over-arching plot detailing the rivalry between the Goh-Rong Restaurant and the Sooga Island location of a multi-national restaurant chain called Dong King Restaurant. Ring Ring, a local 12-year old fashion star, who appeared in the Jetix show and also appeared as Pucca's rival for Garu's affections, is revealed to be the daughter of Dong King and at times works for him, while also directing his servants against Pucca. These servants, under the command of the Dong King Restaurant's manager, Fyah, continually attempt to steal the Goh-Rong's customers by means of various dirty tricks, including occasionally hiring villains such as Tobe and his ninjas or The Pirates.",2018,TV-Y7,24,['comedy'],1.0,,,Jeonghwa Wang,Pucca (voice),ACTOR
44683,Spiritual House,"Psychic Hiroyuki Ehara leads various celebrities through spiritual consultations, probing into their issues and spotlighting their accomplishments.",2017,TV-PG,41,[],1.0,,,Hiroyuki Ehara,,ACTOR
44824,Kulipari: Dream Walker,"Now the Blue Sky King, Darel must lead a rescue mission to save a Dream Walker -- leaving the village under the protection of the Kulipari youth.",2018,TV-Y7,19,"['fantasy', 'animation', 'action']",1.0,7.7,91.0,Charlie Adler,,ACTOR
44844,ID-0,"I-Machines are the general term for robots that operate in extreme environments. While Alliance Academy student Maya Mikuri is in the middle of operating an I-Machine, she gets involved in an incident with pirates, and ends up serving as a crew member on an excavation company's spaceship.",2017,TV-14,24,"['scifi', 'animation', 'action', 'drama']",1.0,6.2,320.0,Kayama Koya,Greyman,ACTOR
45072,The Perfect Match,"What do netizens know? Ting En (Chris Wu) is a celebrated chef whose fine-dining restaurant is a destination for food lovers from all over the world. When Ting En stumbles upon comments on the Internet from people who can’t afford to eat at his high-priced restaurant, they blow his mind. Netizens claim that the culinary creations made by Fen Qing (Ivy Shao) at the night market are just as satisfying as Ting En’s Michelin-worthy food. Determined to debunk such preposterous claims, Ting En goes to the night market to find Fen Qing and show her what true culinary talent really is. Whose cuisine will reign supreme? “The Perfect Match” is a 2017 Taiwanese drama series.",2017,TV-14,44,"['comedy', 'drama']",1.0,,,Ivy Shao,Wei Fen Qing,ACTOR
45091,Harvey Street Kids,"Kids rule in a place called Harvey Street, where a trio of girls right wrongs, ice cream is always an option, and every day feels like Saturday.",2018,TV-Y7,24,"['action', 'family', 'animation', 'comedy']",4.0,6.8,249.0,Lauren Lapkus,Lotta,ACTOR
45186,Life Plan A and B,"Ru Wei and You Yan have a simple relationship. But in every simple relationship, there are many difficulties. They are not rich, but they try very hard to enjoy life. They are very serious about their relationship and try their best to achieve something in life - hoping one day they can become who they want to become. One day, Ru Wei has a 'lucky chance' in life. Her company wants to send her to Shanghai, with a promotion and higher pay. These two who are deeply in love cannot bear to have a long-distance relationship. With all the uncertainties in their future, can they still stand by each other?",2017,TV-PG,80,['drama'],1.0,7.8,106.0,Rainie Yang,Zheng Ruwei,ACTOR
45284,Highland: Thailand's Marijuana Awakening,"Thailand's complicated history with marijuana continues to play a role in its policies and laws, as well as the health and security of its citizens.",2017,TV-MA,20,['documentation'],1.0,6.2,24.0,Sebastian Perry,Himself - Host,ACTOR
45483,The Break with Michelle Wolf,Nobody's safe as Michelle Wolf unapologetically takes aim in this weekly topical show that blends sketches with live comedy and in-studio guests.,2018,TV-MA,30,['comedy'],1.0,5.1,1862.0,Michelle Wolf,Herself - Host,ACTOR
45495,Ask the Doctor,"An innovative, fun, and exploratory factual series that addresses the state of the nation's health, the latest in medical treatments and the future of healthcare as we know it.",2017,,28,['documentation'],3.0,6.5,289.0,Shalin Naik,Himself,ACTOR
45531,Kibaoh Klashers,Dylan and his pals Hailey and Ollie work together to compete in Battle Blading.,2017,TV-Y7,24,['scifi'],2.0,6.3,17.0,Ben Diskin,Dylan,ACTOR
45618,The Sound of Your Heart: Reboot,"Based on the longest-running web-based comic series ""Ma Eum Ui Sori"" in Korea, ""Sound of your heart"" is a story about Cho Seok, an aspiring comic writer, and his strange family.",2018,,34,['comedy'],2.0,5.9,134.0,Shim Hye-jin,Jo Suk's Mother,ACTOR
45625,RIDE ON TIME,,2018,TV-PG,24,[],3.0,,,Shunsuke Kazama,Narration (voice),ACTOR
45626,Dance & Sing With True,"True and her friends are making music -- and they want you to dance and sing along. So cut loose, silly goose! These fun beats are totally sweet.",2018,,0,"['animation', 'family']",1.0,,,"Michela Luci, Jamie Watson, Anna Claire Bartlam, Dante Zee, Eric Peterson",,ACTOR
45627,Pretty Man,"It tells the love story of Lu Jin Nian and Qiao An Hao spanning 13 years. They first got to know each other in school, but later parted ways again due to some misunderstandings. Now, Jin Nian is the unapproachable king of the entertainment business while An Hao is a rookie in the same business. Fate lets Jin Nian and An Hao meet again and An Hao ends up becoming his fake wife.",2018,TV-14,35,['family'],2.0,,,Lai Yu Meng,Qiao Anhao,ACTOR
45632,Memories of Love,"A young couple finds their love rekindled after being separated for ten years. Lu Fei, a seemingly perfect Prince Charming unexpectedly encounters the stubborn and rebellious young lady Xin Chen. Despite their clashing personalities, they find themselves drawn to one another and eventually fall in love. However, they later separate, and it is not until ten years later, when Lu Fei lets go of his newly burgeoning company overseas and returns to search for Xin Chen, that they rediscover the meaning of their love.",2018,TV-PG,44,"['drama', 'romance']",1.0,5.9,16.0,Wallace Chung,Lu Fei,ACTOR
45648,We Speak Dance,Trained dancer Vandana Hart travels the world to learn traditional and urban dance styles from the local experts who know them best.,2018,TV-MA,22,['documentation'],1.0,7.5,148.0,Vandana Hart,Herself,ACTOR
45731,YG Future Strategy Office,"Kpop star Seungri, BIGBANG youngest member, tries to lead a team of blumbing staff at YG's Future Strategy Office in this mockumentary sitcom.",2018,TV-MA,27,['comedy'],1.0,6.9,204.0,Seungri,Himself,ACTOR
45829,What She Put on the Table,"Based on the life of TV chef Fu Pei-mei, this drama follows two women -- one rich, the other poor -- who fortuitously cross paths in 1950s Taiwan.",2017,TV-14,85,['drama'],1.0,7.3,30.0,Sun Ke-Fang,林春,ACTOR
45854,Afronta!,"Afronta invites contemporary black artists and thinkers to discuss representation, belonging, entrepreneurship, ancestrality and AFROFUTURISM through their experiences and personal histories. These reflections will contribute to the understanding of how the Brazilian black community is creating a network to promote the autonomy to change our reality of today, while inventing one for tomorrow.",2017,TV-PG,0,['documentation'],1.0,7.4,8.0,Juliana Vicente,,DIRECTOR
45915,Russian Doll,Nadia keeps dying and reliving her 36th birthday party. She's trapped in a surreal time loop -- and staring down the barrel of her own mortality.,2019,TV-MA,28,"['drama', 'comedy']",2.0,7.8,88945.0,Natasha Lyonne,Nadia Vulvokov,ACTOR
45954,Bridgerton,"Wealth, lust, and betrayal set in the backdrop of Regency era England, seen through the eyes of the powerful Bridgerton family.",2020,TV-MA,62,"['drama', 'romance']",4.0,7.3,122036.0,Adjoa Andoh,Lady Danbury,ACTOR
45973,Demon Slayer: Kimetsu no Yaiba,"It is the Taisho Period in Japan. Tanjiro, a kindhearted boy who sells charcoal for a living, finds his family slaughtered by a demon. To make matters worse, his younger sister Nezuko, the sole survivor, has been transformed into a demon herself. Though devastated by this grim reality, Tanjiro resolves to become a “demon slayer” so that he can turn his sister back into a human, and kill the demon that massacred his family.",2019,TV-MA,25,"['animation', 'scifi', 'action', 'fantasy', 'thriller', 'horror']",3.0,8.7,88265.0,Natsuki Hanae,Tanjiro Kamado (voice),ACTOR
45979,Sex Education,Inexperienced Otis channels his sex therapist mom when he teams up with rebellious Maeve to set up an underground sex therapy clinic at school.,2019,TV-MA,52,"['drama', 'comedy']",4.0,8.3,251168.0,Asa Butterfield,Otis Milburn,ACTOR
45996,After Life,"Tony had a perfect life. But after his wife Lisa suddenly dies, Tony changes. After contemplating taking his own life, he decides instead to live long enough to punish the world by saying and doing whatever he likes from now on.",2019,TV-MA,28,"['comedy', 'drama']",3.0,8.5,124972.0,Ricky Gervais,Tony,ACTOR
46011,The Umbrella Academy,"A family of former child heroes, now grown apart, must reunite to continue to protect the world.",2019,TV-14,52,"['comedy', 'drama', 'fantasy', 'scifi', 'action']",3.0,8.0,202522.0,Elliot Page,Viktor Hargreeves,ACTOR
46017,The Witcher,"Geralt of Rivia, a mutated monster-hunter for hire, journeys toward his destiny in a turbulent world where people often prove more wicked than beasts.",2019,TV-MA,58,"['scifi', 'action', 'drama', 'fantasy', 'horror']",2.0,8.2,465949.0,Henry Cavill,Geralt of Rivia,ACTOR
46119,Space Force,A four-star general begrudgingly teams up with an eccentric scientist to get the U.S. military's newest agency — Space Force — ready for lift-off.,2020,TV-MA,30,['comedy'],2.0,6.7,61739.0,Steve Carell,General Mark R. Naird,ACTOR
46126,Formula 1: Drive to Survive,"Drivers, managers and team owners live life in the fast lane -- both on and off the track -- during one cutthroat season of Formula 1 racing.",2019,TV-MA,38,"['documentation', 'sport']",6.0,8.6,36661.0,Max Verstappen,Self (footage),ACTOR
46168,The Queen's Gambit,"In a Kentucky orphanage in the 1950s, a young girl discovers an astonishing talent for chess while struggling with addiction.",2020,TV-MA,56,"['drama', 'sport']",1.0,8.6,406350.0,Anya Taylor-Joy,Elizabeth 'Beth' Harmon,ACTOR
46178,Dead to Me,A hotheaded widow searching for the hit-and-run driver who mowed down her husband befriends an eccentric optimist who isn't quite what she seems.,2019,TV-MA,31,"['drama', 'crime', 'comedy']",2.0,8.0,73110.0,Christina Applegate,Jen Harding,ACTOR
46183,I Think You Should Leave with Tim Robinson,There is no such thing as an ordinary interaction in this offbeat sketch comedy series that features a deep roster of guest stars.,2019,TV-MA,16,['comedy'],3.0,7.9,11411.0,Tim Robinson,Various Characters,ACTOR
46184,The Last Dance,"A 10-part documentary chronicling the untold story of Michael Jordan and the Chicago Bulls dynasty with rare, never-before-seen footage and sound from the 1997-98 championship season – plus over 100 interviews with famous figures and basketball’s biggest names.",2020,TV-MA,50,"['documentation', 'history', 'sport']",1.0,9.1,108321.0,Michael Jordan,Self,ACTOR
46190,The Stranger,A web of secrets sends family man Adam Price on a desperate quest to uncover the truth about the people closest to him.,2020,TV-MA,45,"['crime', 'thriller', 'drama']",1.0,7.3,46564.0,Richard Armitage,Adam Price,ACTOR
46196,Emily in Paris,"When ambitious Chicago marketing exec Emily unexpectedly lands her dream job in Paris, she embraces a new life as she juggles work, friends and romance.",2020,TV-MA,29,"['drama', 'comedy', 'romance']",2.0,6.9,84302.0,Lily Collins,Emily Cooper,ACTOR
46203,Unbelievable,"A teenager is charged with lying about her rape allegation, but two determined investigative female detectives discover a far more sinister truth.",2019,TV-MA,48,"['drama', 'crime']",1.0,8.4,95658.0,Kaitlyn Dever,Marie Adler,ACTOR
46206,ULTRAMAN,"Decades ago, a hero from the stars left this world in peace. Now, the son of Ultraman must rise to protect the Earth from a new alien threat.",2019,TV-14,24,"['scifi', 'action', 'drama', 'fantasy', 'animation']",3.0,6.8,2025.0,Ryohei Kimura,Shinjiro Hayata / Ultraman (voice),ACTOR
46211,Jurassic World: Camp Cretaceous,Six teens attending an adventure camp on the opposite side of Isla Nublar must band together to survive when dinosaurs wreak havoc on the island.,2020,TV-PG,24,"['action', 'family', 'scifi', 'animation']",4.0,7.5,7423.0,Jameela Jamil,Roxie (voice),ACTOR
46219,Virgin River,"After seeing an ad for a midwife, a recently divorced big-city nurse moves to the redwood forests of California, where she meets an intriguing man.",2019,TV-14,44,"['drama', 'romance']",3.0,7.4,34797.0,Alexandra Breckenridge,Melinda Monroe,ACTOR
46229,Outer Banks,"A tight-knit group of teens unearths a long-buried secret, setting off a chain of illicit events that takes them on an adventure they'll never forget.",2020,TV-MA,49,"['action', 'drama', 'romance', 'thriller', 'crime']",2.0,7.5,43404.0,Chase Stokes,John B,ACTOR
46235,Locke & Key,"Three siblings who move into their ancestral estate after their father's gruesome murder discover their new home's magical keys, which must be used in their stand against an evil creature who wants the keys and their powers.",2020,TV-14,48,"['scifi', 'thriller', 'drama', 'fantasy', 'horror']",3.0,7.4,72031.0,Darby Stanchfield,Nina Locke,ACTOR
46294,The Circle,"Players start off isolated in an apartment, and with their online interactions as their only means of any communication. The players use a social media platform called ""The Circle"".",2020,TV-MA,52,['reality'],5.0,7.3,6380.0,Michelle Buteau,Self - Host,ACTOR
46352,Are You Afraid of the Dark?,"Each season of this horror anthology series follows a different group of kids, members of the Midnight Society, as they discover terrifying curses and creatures.",2019,TV-PG,44,"['thriller', 'horror', 'family', 'drama', 'fantasy']",2.0,7.1,2151.0,Lyliana Wray,Rachel Carpenter,ACTOR
46386,In the Dark,"Murphy is a flawed and irreverent woman who just happens to be blind and is the only “witness” to the murder of her drug-dealing friend, Tyson. When the police dismiss her story, she sets out with her dog, Pretzel, to find the killer while also managing her colorful dating life and the job she hates at Breaking Blind — the guide-dog school owned by her overprotective parents.",2019,TV-14,41,"['comedy', 'drama', 'crime', 'horror', 'action']",4.0,7.7,10927.0,Perry Mattfeld,Murphy Mason,ACTOR
46396,Young Wallander,Follow recently graduated police officer Kurt Wallander as he investigates his first case.,2020,TV-MA,45,"['crime', 'drama', 'thriller']",2.0,6.8,11039.0,Adam Pålsson,Kurt Wallander,ACTOR
46474,Tuca & Bertie,Free-spirited toucan Tuca and self-doubting song thrush Bertie are best friends -- and birds -- who guide each other through life's ups and downs.,2019,TV-MA,24,"['comedy', 'animation']",2.0,7.3,6724.0,Tiffany Haddish,Tuca,ACTOR
46706,Feel Good,Recovering addict and comedian Mae tries to control the addictive behaviors and intense romanticism that permeate every facet of her life. Life is further complicated by a new and all-consuming relationship with her new girlfriend George.,2020,TV-MA,25,"['drama', 'comedy', 'romance']",2.0,7.5,10317.0,Mae Martin,Mae,ACTOR
46786,Love Is Blind,"Singles who want to be loved for who they are, rather than what they look like, have signed up for a less conventional approach to modern dating.",2020,TV-MA,54,"['reality', 'romance']",5.0,6.1,7655.0,Nick Lachey,Self - Host,ACTOR
46924,Into the Night,"When the sun suddenly starts killing everything in its path, passengers on an overnight flight from Brussels attempt to survive by any means necessary.",2020,TV-MA,36,"['scifi', 'drama', 'thriller']",2.0,7.1,30746.0,Pauline Étienne,Sylvie,ACTOR
46944,Criminal: UK,"Within the walls of an interrogation room, London investigators question suspects accused of grievous crimes until the truth comes to light.",2019,TV-MA,44,"['drama', 'thriller', 'crime']",2.0,7.6,17992.0,Lee Ingleby,Tony Myerscough,ACTOR
46948,Never Have I Ever,"The complicated life of a modern-day first generation Indian American teenage girl, inspired by Mindy Kaling's own childhood.",2020,TV-14,28,"['drama', 'comedy']",4.0,7.8,45346.0,Maitreyi Ramakrishnan,Devi Vishwakumar,ACTOR
46956,The Daily Life of the Immortal King,"As a cultivation genius who has achieved a new realm every two years since he was a year old, Wang Ling is a near-invincible existence with prowess far beyond his control. But now that he’s sixteen, he faces his greatest battle yet – Senior High School. With one challenge after another popping up, his plans for a low-key high school life seem further and further away…",2020,TV-14,19,"['scifi', 'comedy', 'fantasy', 'animation', 'action']",2.0,7.2,1211.0,Yin Long,旁白,ACTOR
