,title,description,release_year,age_certification,runtime,genres,seasons,imdb_score,imdb_votes,name,character,role
59178,Flinch,"Harrowing and hilarious tests await the brave and foolhardy, as well as the judges, in this comedy game show. If they flinch, they feel the pain.",2019,TV-PG,24,['reality'],1.0,4.4,703.0,Lloyd Griffith,Himself - Presenter,ACTOR
59180,Trash Truck,"Six-year old Hank and his best pal, a giant trash truck, explore the world around them on fantastical adventures with their animal friends.",2020,TV-Y,14,[],2.0,,,Henry Keane,,ACTOR
59186,Izzy's Koala World,Young koala caretaker Izzy Bee and her family rescue cuddly creatures in need and help them head back into the wild on Australia’s Magnetic Island.,2020,,16,"['documentation', 'family']",2.0,,,Izzy Bee,Self,ACTOR
59199,The Unsettling,"Becca, a 16-year-old girl, arrives at her new foster home located in a remote area. Her foster siblings are less than welcoming but none more so than the 11-year-old biological son of their foster parents. Becca tries to keep to herself and adjust to her new home, but strange things start to happen around her, and Becca is uncertain about who or what is responsible.",2019,TV-14,23,"['fantasy', 'horror', 'scifi', 'thriller', 'crime']",1.0,5.2,712.0,Holly Taylor,Becca,ACTOR
59210,Maradona in Mexico,"The Dorados, Culiacan's local team, are at the bottom of the rankings when Maradona arrives, looking for a fresh start. The experts predict disaster.",2019,TV-MA,37,"['documentation', 'sport', 'comedy', 'drama']",1.0,7.3,1119.0,Diego Maradona,Self,ACTOR
59223,Brews Brothers,"Two rival brothers must work together to keep their brewery in business, but shenanigans keep foaming up their company with chaos.",2020,TV-MA,11,"['comedy', 'drama']",1.0,5.1,1944.0,Carmen Flood,Sarah,ACTOR
59240,The Circle Brazil,"In this fun reality competition, online players try their best to flirt, bond and catfish their way to a R$300,000 prize.",2020,TV-MA,49,['reality'],1.0,6.8,761.0,Ana Carla,Contestant,ACTOR
59268,Drifting Dragons,"Dragons, the rulers of the sky. To many people on the surface, they are a dire threat, but at the same time, a valuable source of medicine, oil, and food. There are those who hunt the dragons. They travel the skies in dragon-hunting airships. This is the story of one of those ships, the “Quin Zaza,” and its crew.",2020,TV-14,24,"['action', 'scifi', 'animation', 'fantasy']",1.0,6.0,569.0,Shin Furukawa,Faye (voice),ACTOR
59289,The Idhun Chronicles,"After a necromancer takes over the magical world of Idhun, two adolescent earthlings help fight an assassin sent to kill all Idhunese refugees on Earth.",2020,TV-14,27,"['scifi', 'action', 'fantasy', 'animation']",2.0,5.3,563.0,Itzan Escamilla,Jack (voice),ACTOR
59317,Alien TV,"Alien reporters Ixbee, Pixbee and Squee travel to a lovely but odd planet called Earth, where they attempt to make sense of humans and their hobbies.",2020,TV-Y7,23,"['comedy', 'animation', 'family']",2.0,6.3,293.0,Rob Tinkler,,ACTOR
59360,Was It Love?,"After 14 years devoid of romance, a struggling movie producer and single mom faces the unexpected arrival of 4 men into her life—an author, an actor, a CEO, and a younger man—who might just revive her dormant desire for love.",2020,TV-MA,69,"['drama', 'comedy', 'romance']",1.0,7.1,870.0,Song Ji-hyo,Noh Ae Jung,ACTOR
59389,Tiny Creatures,Little animals embark on big adventures across the U.S. in a dramatic nature series that explores their hidden worlds and epic survival stories.,2020,TV-PG,25,"['documentation', 'family', 'drama']",1.0,5.0,1210.0,Mike Colter,Self - Narrator,ACTOR
59412,Legend of Exorcism,"In the twelve years of Tianbao, Kong Hongjun, a handsome young man who is not familiar with the world, left the Yaojin Palace on the Taihang Mountain with three important tasks, and came to Chang'an, which is full of prosperity. Kong Hongjun first entered the Datang Exorcism Division, and the head supervisor was actually Long Wujun general Li Jinglong who had dealt with it not long ago. But he accidentally broke the Chen's heart lamp, and the heart lamp entered Li Jinglong's body. In the light and shadow of the lamp, there are the bright red lights of Pingkangli, the exorcism of the sycamore in the summer sunshine, the vast sky and sand and flying snow, the peaceful singing of Artai. Mo Rigen and Lu Xu picked off early morning leaves, Qiu Yongsi's flying strokes. Adaptation of Fei Tian Ye Xiang's (非天夜翔) web novel of the same name.",2020,TV-14,21,"['scifi', 'drama', 'animation', 'action', 'fantasy']",2.0,7.7,80.0,Chen Jinwen,孔鸿俊,ACTOR
59417,Followers,"When an aspiring actress hits it big thanks to a candid Instagram post, the lives of several Tokyo women cross as they struggle to define happiness IRL.",2020,TV-MA,40,"['drama', 'comedy']",1.0,,,Miki Nakatani,Limi Nara,ACTOR
59527,The Business of Drugs,"To detail how drugs push people into risky — even deadly — behaviors, a former CIA analyst investigates the economics of six illicit substances.",2020,TV-MA,44,"['crime', 'documentation']",1.0,7.2,1646.0,Amaryllis Fox,Self,ACTOR
59550,The Ghost Bride,"In 1890s Malacca, Li Lan finds herself in the afterlife and becomes mired in a mystery linked to the sinister, deceased son of a wealthy family.",2020,TV-14,51,"['drama', 'thriller']",1.0,6.3,716.0,Kuang Tian,Lim Tian Ching,ACTOR
59594,Puerta 7,"An unflinching exploration of Argentina's infamous soccer ""barra bravas,"" bare torso-ed soccer fans feared by the public and even police responsible for fatalities at soccer matches.",2020,TV-MA,41,"['thriller', 'crime', 'drama']",1.0,5.6,542.0,Dolores Fonzi,,ACTOR
59604,Singapore Social,"Peer into the lives of young Singaporeans as they defy expectations and traverse the tricky terrain of career, romance and family.",2019,,40,['reality'],1.0,4.9,3670.0,Mae Tan,Herself,ACTOR
59615,Huge in France,Famous comedian Gad Elmaleh moves to LA to reconnect with his son and must learn to live without the celebrity perks he's accustomed to in France.,2019,TV-MA,30,['comedy'],1.0,6.8,2809.0,Gad Elmaleh,Gal Elmaleh,ACTOR
59619,Room 2806: The Accusation,This docuseries follows the 2011 sexual assault case involving French politician Dominique Strauss-Kahn,2020,TV-MA,49,"['documentation', 'crime']",1.0,7.0,2298.0,Anne Sinclair,Self (archive footage),ACTOR
59706,Bolívar: Una lucha admirable,"Depicts the life and loves of Venezuelan Gen. Simón Bolívar, who helped liberate several Latin American countries from Spain.",2019,TV-MA,52,"['romance', 'action', 'drama']",1.0,7.3,743.0,José Ramón Barreto,Simón Bolívar Joven,ACTOR
59758,Nowhere Man,"Two nefarious schemes taking place 10 years apart entangle a dauntless triad member, who must break out of prison to rescue a loved one.",2019,TV-MA,56,"['crime', 'drama', 'thriller', 'action']",1.0,5.6,360.0,Alyssa Chia,Jiang Jingfang,ACTOR
59824,Rugal,A police detective who loses everything to a criminal organization seeks payback when he gains special abilities through biotechnology.,2020,TV-MA,60,"['crime', 'thriller', 'scifi', 'drama', 'action']",1.0,,,Choi Jin-hyuk,Kang Ki Beom,ACTOR
59850,Monzón: A Knockout Blow,The story about Argentinian boxer Carlos Monzón in his career and life in prison.,2019,TV-MA,45,"['crime', 'drama', 'history', 'sport']",1.0,7.9,717.0,Nacho Gadano,El Turco,ACTOR
59864,A Perfect Crime,"In April 1991, Detlev Rohwedder, the head of Treuhand, the East German Privatization and Restructuring Agency, was assassinated in Dusseldorf. This documentary details the strange evidence recovered.",2020,,43,"['crime', 'documentation']",1.0,7.3,1394.0,Oliver Reissig,,ACTOR
59983,Felipe Esparza: Bad Decisions,"Two live performances, one in English and one in Spanish. No matter the language, Felipe Esparza is muy muy.",2020,TV-MA,62,['comedy'],1.0,5.4,166.0,Felipe Esparza,Self,ACTOR
60046,Crime Diaries: The Candidate,"In 1994, Mexican presidential candidate Luis Donaldo Colosio's assassination sends his dying widow racing to uncover who did it.",2019,TV-MA,37,"['war', 'crime', 'drama', 'thriller']",1.0,7.5,803.0,Jorge A. Jimenez,Luis Donaldo Colosio Murrieta,ACTOR
60109,Best Leftovers Ever!,"Home cooks compete to transform leftovers into delicious creations, finding ways to give old leftovers new life, all in the hopes of winning a $10,000 prize.",2020,TV-G,36,['reality'],1.0,5.6,515.0,Jackie Tohn,,ACTOR
60137,Betaal,A remote village becomes the arena of a breathless battle when an undead East India Company officer and his battalion of zombie redcoats attack a squad of modern-day soldiers.,2020,TV-MA,47,"['action', 'horror', 'thriller']",1.0,5.4,8884.0,Vineet Kumar Singh,Vikram Sirohi,ACTOR
60157,Over Christmas,Down-and-out musician Bastian battles the blues as he returns home for Christmas and encounters a series of not-so-cheery surprises.,2020,,45,"['drama', 'comedy']",1.0,,,Luke Mockridge,Bastian Kollinger,ACTOR
60221,"Good Morning, Verônica","While hunting for a dating-site predator, an underused cop discovers a husband and wife with a horrific secret — and a web of conspiracy hiding it.",2020,TV-MA,45,"['drama', 'thriller', 'crime']",1.0,7.6,3552.0,Tainá Müller,Verônica Torres,ACTOR
60224,Mismatched,"After a disastrous set-up by their families, two teens strike up a tentative friendship at their summer program - but deeper feelings aren't far behind.",2020,TV-MA,32,"['comedy', 'drama', 'romance']",1.0,5.5,3712.0,Prajakta Koli,Dimple Ahuja,ACTOR
60268,Rilakkuma and Kaoru,"Kaoru's unexpected new roommate is Rilakkuma, a bear with a zipper on its back that spends each day just lazing around -- but is impossible to hate.",2019,TV-PG,12,"['comedy', 'drama', 'family', 'animation']",1.0,8.3,1579.0,Mikako Tabe,Kaoru,ACTOR
